3812 204 14384 27
3880 116 14516 4
4044 136 14356 -16
3788 96 14368 8
3896 176 14460 6
4024 220 14508 33
4020 260 14504 23
3900 168 14532 19
3968 192 14488 2
3964 112 14496 20
3780 236 14336 14
3876 280 14464 5
3940 244 14488 -2
3704 140 14376 49
3828 168 14516 3
3944 336 14492 -57
3944 136 14516 29
3828 276 14428 11
3856 284 14432 19
3992 216 14516 25
3740 132 14420 0
3844 220 14256 14
4028 224 14456 2
4000 172 14332 -10
3788 264 14408 -1
3988 292 14244 17
3968 256 14428 36
3952 164 14420 -2
3936 216 14368 16
4012 232 14432 5
3848 148 14484 12
3980 132 14596 13
4040 332 14316 13
3824 184 14452 14
3788 264 14412 15
3996 224 14452 19
4036 268 14468 4
3880 188 14560 -5
3884 168 14428 -5
4120 272 14356 10
3848 188 14472 -6
3864 348 14368 29
4088 272 14388 11
3992 156 14324 -9
3848 196 14464 7
4048 188 14296 13
3960 304 14340 20
3788 148 14400 18
3888 188 14332 15
3980 284 14440 11
3920 268 14440 6
3908 236 14432 -10
3992 324 14496 10
3912 188 14396 15
3900 188 14332 -3
4032 276 14372 2
3972 176 14496 -15
3828 168 14420 22
4048 220 14376 38
3964 248 14548 1
3764 140 14444 40
4032 404 14488 38
3956 264 14420 -43
4044 192 14164 -423
4060 284 14432 -28
4108 284 14780 1081
3244 356 14052 1136
3100 88 14216 1172
2860 264 14588 2007
1760 208 14668 2114
1056 172 14912 1477
656 -128 14952 1869
-104 240 15148 2047
-916 -596 14336 1582
-1536 132 14372 1721
-2076 220 14200 1340
-2820 4 14064 1561
-3240 204 14180 1566
-3788 -92 13896 1650
-4440 48 13460 1218
-5036 -180 13656 1991
-5608 -132 13016 2129
-6580 92 12988 2177
-7524 -364 12724 2717
-8024 -484 11924 1914
-8824 -248 11244 2469
-9612 -116 10720 2079
-10112 -232 10264 2213
-10912 -284 9624 1863
-11248 -504 9224 2391
-11936 -288 8344 3047
-12348 -936 8064 2643
-12796 -336 7216 2293
-13508 -1016 5116 1619
-13656 -1060 5036 2542
-14120 -52 4440 1694
-14420 -504 3472 1684
-14532 -812 4008 2449
-14988 -512 1840 2476
-14752 -932 2324 1417
-15164 -856 1332 1609
-15304 -784 136 1827
-15016 -768 -4 1528
-15340 -904 -640 983
-15464 -976 -1024 1069
-15340 -768 -1620 1116
-15364 -1244 -1192 -295
-15636 -880 -1808 -183
-15248 -916 -1292 -132
-15348 -868 -1548 286
-15400 -1008 -1628 170
-15304 -824 -1620 54
-15456 -944 -1492 -59
-15412 -824 -1708 113
-15276 -924 -1312 200
-15504 -988 -1568 -222
-15532 -848 -1612 181
-15248 -948 -1676 99
-15340 -968 -1580 -89
-15536 -912 -1340 -95
-15332 -800 -1424 -28
-15348 -828 -1524 -54
-15524 -920 -1504 71
-15468 -1052 -1572 14
-15420 -888 -1628 90
-15624 -1028 -1436 186
-15408 -820 -1500 13
-15220 -908 -1640 112
-15496 -908 -1592 -37
-15444 -852 -1760 87
-15288 -916 -1796 86
-15504 -672 -1756 326
-15328 -908 -1568 339
-15244 -836 -2280 -342
-15544 -1004 -2032 120
-15580 -1112 -1880 -320
-15344 -864 -1648 -33
-15372 -1016 -1548 -12
-15476 -976 -1840 133
-15320 -904 -1868 -19
-15440 -872 -2016 286
-15344 -800 -1764 46
-15304 -840 -1936 -172
-15452 -808 -1884 45
-15408 -944 -1884 85
-15396 -856 -1816 145
-15460 -928 -1924 -47
-15416 -836 -2060 63
-15396 -840 -1700 142
-15508 -968 -1776 23
-15504 -932 -1976 339
-15356 -716 -2528 941
-15396 -960 -2552 588
-15508 -772 -2892 902
-15336 -772 -3288 1148
-15356 -960 -3772 1262
-15332 -808 -4416 1560
-15188 -824 -4776 1225
-14932 -860 -4984 1660
-15104 -848 -5956 900
-14812 -604 -6232 872
-14744 -860 -6228 527
-14948 -808 -7116 870
-14644 -704 -7236 347
-14756 -820 -7128 -122
-14740 -764 -7340 -223
-14716 -848 -7072 285
-14816 -952 -6808 -247
-14844 -824 -7028 297
-14640 -940 -7052 -170
-14800 -940 -7156 171
-14840 -792 -6732 70
-14552 -800 -7228 -103
-14732 -920 -7088 92
-14768 -780 -7280 -71
-14596 -812 -7024 229
-14664 -824 -7052 23
-14700 -812 -7116 235
-14452 -804 -7288 -49
-14548 -768 -7304 217
-14696 -848 -7328 85
-14608 -764 -7268 105
-14556 -896 -7468 38
-14648 -852 -7256 162
-14540 -724 -7408 92
-14504 -924 -7360 429
-14704 -996 -7364 -289
-14540 -768 -7748 179
-14364 -832 -7368 13
-14636 -828 -7640 -56
-14664 -828 -7568 147
-14476 -808 -7460 -96
-14704 -776 -8040 -854
-14828 -1044 -6368 -1506
-14772 -736 -6804 -1602
-14976 -1052 -5192 -2016
-15276 -932 -4828 -2136
-15504 -900 -4096 -2308
-15404 -840 -3108 -2719
-15504 -796 -1712 -2602
-15348 -804 -984 -2609
-15072 -796 416 -3336
-15148 -640 1624 -2697
-14532 -1048 3220 -2880
-14388 -700 3800 -1940
-14160 -732 4580 -2817
-13668 -748 5516 -1898
-13052 -596 6304 -2038
-12776 -748 7144 -1936
-12584 -260 7500 -1815
-12124 -540 8144 -534
-12108 -556 8208 44
-12100 -548 8272 56
-12032 -380 7804 170
-12092 -512 7936 -45
-12024 -368 8056 -76
-12048 -244 8116 56
-12160 -440 8096 232
-12164 -616 8316 -145
-12008 -348 8040 -26
-12164 -496 8152 -18
-12160 -468 8104 -30
-12036 -360 8360 -101
-12056 -552 8048 -66
-11944 -452 8272 104
-12124 -432 7972 -42
-12260 -348 7924 35
-12116 -484 8180 12
-12036 -408 8100 52
-12184 -480 8136 -534
-11852 -104 8360 -961
-11652 120 8656 -1666
-11216 -208 9456 -2829
-10264 -508 10024 -3248
-8964 -500 11316 -3649
-7636 -316 11824 -4672
-6164 68 12800 -5347
-4132 456 13972 -4647
-2444 468 14152 -4466
-876 464 15464 -3806
552 -684 15032 -3302
1264 484 14444 -2380
2260 504 14716 -2366
2932 696 14612 -897
3412 520 14712 -618
5080 336 11636 -742
3392 580 14300 -527
3960 360 14620 -176
3816 328 14444 -54
3764 236 14456 -42
3860 376 14516 14
3904 472 14412 1
3820 384 14508 4
3840 332 14452 16
3792 424 14436 11
3892 312 14492 -30
3760 352 14428 41
3812 352 14284 25
3928 336 14344 -8
3744 272 14252 -5
3788 328 14444 16
3924 424 14356 -23
3872 320 14384 13
3676 364 14372 -7
3880 296 14384 5
3880 396 14460 -2
3736 308 14504 -17
3720 256 14508 11
3900 368 14460 23
3900 212 14384 13
3740 340 14468 -10
3928 308 14340 33
3820 352 14348 23
3776 240 14380 -9
3860 360 14532 -16
3964 344 14496 -4
3764 304 14368 -9

