-748 2008 15940 -219 221 14
-716 1948 15788 -205 232 -4
-672 1976 15960 -210 202 -30
-780 1884 15884 -229 207 9
-708 2044 15844 -228 237 13
-720 2088 15888 -194 222 25
-676 2004 15912 -223 205 3
-728 1980 15824 -212 225 17
-708 2008 15932 -210 213 12
-704 1968 15968 -223 187 13
-720 1912 15872 -223 203 -1
-552 2064 15832 -218 198 15
-748 2004 15952 -227 217 -1
-752 1988 15852 -227 221 9
-740 2016 15860 -195 205 9
-728 2096 15984 -193 206 -3
-688 2036 15936 -198 208 7
-744 1944 16012 -220 201 -2
-780 1880 15844 -202 198 0
-700 2072 16008 -223 211 16
-728 2012 15744 -213 228 14
-804 2060 15824 -218 210 6
-800 1948 15932 -235 219 6
-756 2088 15884 -194 221 12
-764 1956 15916 -190 226 3
-636 1984 15816 -211 223 8
-780 1984 16036 -206 211 18
-788 1956 15808 -225 194 -3
-728 2048 15880 -223 210 18
-728 2016 16016 -218 209 14
-628 2080 15844 -212 208 2
-768 2052 15844 -197 199 -17
-828 2024 15980 -224 211 10
-792 1944 15888 -221 228 19
-716 1968 15856 -245 191 4
-672 1968 15972 -229 233 14
-688 1988 15892 -223 215 0
-692 1988 15924 -190 225 1
-840 1956 15888 -205 235 1
-776 2036 15896 -203 229 -9
-712 1964 16024 -206 203 8
-696 1912 15876 -230 221 13
-804 1952 15840 -194 227 -5
-780 2008 15900 -208 206 -6
-796 1968 16028 -205 204 16
-744 2020 15964 -212 194 -8
-792 1908 15928 -206 223 9
-680 1912 15928 -218 204 17
-668 2092 15880 -228 206 10
-776 1980 15884 -209 194 13
-740 1948 16024 -223 184 5
-788 1972 16024 -216 209 21
-724 1988 15976 -222 234 8
-704 1952 15736 -196 189 12
-780 1920 15996 -219 220 -8
-672 1956 15860 -207 178 14
-712 1956 15928 -209 228 5
-752 2016 15988 -205 220 14
-656 1992 15860 -222 214 20
-688 2068 15832 -195 234 19
-804 1952 15944 -214 239 22
-668 2032 15792 -211 217 32
-764 1968 16044 -210 211 17
-796 2008 15880 -210 206 0
-728 2068 15792 -229 227 6
-740 1996 15952 -224 191 9
-740 1988 15920 -205 223 6
-704 1976 15748 -218 200 7
-732 1952 15832 -207 209 6
-728 2036 15796 -221 226 9
-704 2012 15852 -196 211 9
